acquisition,volume,slice,clean_scale,noisy_scale,scale_difference,noise_seed,actual_relative_complex_rms,clean_ram_psnr,noisy_ram_psnr,delta_ram_psnr,clean_ram_ssim,noisy_ram_ssim,delta_ram_ssim,clean_ram_nmse,noisy_ram_nmse,delta_ram_nmse
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,0.00016160875384230167,0.00016160875384230167,0.0,24003,0.05000000074505806,31.179258346557617,30.751693725585938,-0.4275646209716797,0.8755755424499512,0.8647963404655457,-0.010779201984405518,0.008381004445254803,0.009248098358511925,0.000867093913257122
AXFLAIR,file_brain_AXFLAIR_201_6002974,5,0.00016032828716561198,0.00016032828716561198,0.0,24005,0.05000000074505806,30.88304901123047,30.638893127441406,-0.2441558837890625,0.871928334236145,0.8634316921234131,-0.008496642112731934,0.008782794699072838,0.009290700778365135,0.0005079060792922974
AXFLAIR,file_brain_AXFLAIR_201_6002974,13,0.0001184767679660581,0.0001184767679660581,0.0,24013,0.04999999701976776,34.246131896972656,34.228485107421875,-0.01764678955078125,0.9140263199806213,0.9139794111251831,-4.690885543823242e-05,0.01322648860514164,0.01328033022582531,5.3841620683670044e-05
AXT1,file_brain_AXT1_202_2020181,9,0.0006810565828345716,0.0006810565828345716,0.0,24109,0.04999999701976776,36.491085052490234,36.5394172668457,0.04833221435546875,0.9300834536552429,0.9323549270629883,0.0022714734077453613,0.008150692097842693,0.008060485124588013,-9.020697325468063e-05
AXT1,file_brain_AXT1_202_2020181,3,0.0007088794372975826,0.0007088794372975826,0.0,24103,0.05000000074505806,34.11902618408203,34.176353454589844,0.0573272705078125,0.9157540798187256,0.9172979593276978,0.001543879508972168,0.016279784962534904,0.016066299751400948,-0.0002134852111339569
AXT1,file_brain_AXT1_202_2020181,4,0.0007185758440755308,0.0007185758440755308,0.0,24104,0.05000000074505806,34.45002746582031,34.476810455322266,0.026782989501953125,0.9212377667427063,0.9228411912918091,0.0016034245491027832,0.014912019483745098,0.014820347540080547,-9.167194366455078e-05
AXT1PRE,file_brain_AXT1PRE_203_6000868,4,0.0004537467029877007,0.0004537467029877007,0.0,24204,0.05000000447034836,34.07146453857422,31.95392608642578,-2.1175384521484375,0.8953253030776978,0.8482538461685181,-0.04707145690917969,0.005945348646491766,0.009681238792836666,0.0037358901463449
AXT1PRE,file_brain_AXT1PRE_203_6000868,8,0.000430366606451571,0.000430366606451571,0.0,24208,0.05000000074505806,34.589202880859375,33.98863983154297,-0.6005630493164062,0.9128933548927307,0.8963496088981628,-0.01654374599456787,0.007426162716001272,0.008527486585080624,0.0011013238690793514
AXT1PRE,file_brain_AXT1PRE_203_6000868,7,0.00043583897058852017,0.00043583897058852017,0.0,24207,0.05000000819563866,34.39540100097656,33.41024398803711,-0.9851570129394531,0.9119773507118225,0.8912081718444824,-0.020769178867340088,0.006868857890367508,0.00861787237226963,0.0017490144819021225
AXT1POST,file_brain_AXT1POST_205_2050067,7,0.0004231295606587082,0.0004231295606587082,0.0,24307,0.05000000074505806,35.77070999145508,35.40148162841797,-0.3692283630371094,0.9297196865081787,0.9265034198760986,-0.003216266632080078,0.006918936036527157,0.007532899733632803,0.0006139636971056461
AXT1POST,file_brain_AXT1POST_205_2050067,12,0.0005649446975439787,0.0005649446975439787,0.0,24312,0.05000000074505806,37.572200775146484,37.297889709472656,-0.2743110656738281,0.9235963225364685,0.9239422678947449,0.0003459453582763672,0.004794096574187279,0.005106673110276461,0.0003125765360891819
AXT1POST,file_brain_AXT1POST_205_2050067,4,0.00040657148929312825,0.00040657148929312825,0.0,24304,0.04999999701976776,36.01665115356445,35.64251708984375,-0.3741340637207031,0.9314088225364685,0.9272151589393616,-0.004193663597106934,0.008154782466590405,0.00888844858855009,0.0007336661219596863
AXT1POST,file_brain_AXT1POST_209_6001231,9,0.00046974708675406873,0.00046974708675406873,0.0,24409,0.04999999701976776,38.29252243041992,37.737403869628906,-0.5551185607910156,0.9356892108917236,0.938343346118927,0.002654135227203369,0.0038043148815631866,0.004323034081608057,0.0005187192000448704
AXT1POST,file_brain_AXT1POST_209_6001231,4,0.0005146895418874919,0.0005146895418874919,0.0,24404,0.05000000074505806,37.13962173461914,36.997352600097656,-0.14226913452148438,0.9330288767814636,0.9339796900749207,0.0009508132934570312,0.005707912612706423,0.005897987633943558,0.00019007502123713493
AXT1POST,file_brain_AXT1POST_209_6001231,5,0.0005125806201249361,0.0005125806201249361,0.0,24405,0.04999999701976776,37.53705596923828,37.30287170410156,-0.23418426513671875,0.9306735992431641,0.9323562383651733,0.0016826391220092773,0.004874168895184994,0.005144210997968912,0.0002700421027839184
