acquisition,volume,cases,mean_delta_ram_psnr,mean_delta_ram_ssim,mean_delta_ram_nmse
AXFLAIR,file_brain_AXFLAIR_200_6002462,3,-0.19086074829101562,-0.0041864315668741865,0.0004291314010818799
AXFLAIR,file_brain_AXFLAIR_210_6001526,3,-0.029719034830729168,0.0006619095802307129,6.0965617497762047e-05
AXFLAIR,file_brain_AXFLAIR_201_6002975,3,-0.16323216756184897,-0.002592007319132487,0.0002611020269493262
AXFLAIR,file_brain_AXFLAIR_209_6001358,3,-0.05002276102701823,-0.003721455732981364,0.00011137376228968303
AXFLAIR,file_brain_AXFLAIR_200_6002581,3,-0.009162267049153646,0.00025930007298787433,5.8564357459545135e-05
AXFLAIR,file_brain_AXFLAIR_201_6002872,3,-0.17794926961263022,-0.0031448801358540854,0.0003336494167645772
AXT1,file_brain_AXT1_202_2020215,3,0.020346323649088543,0.001330256462097168,-3.3198390156030655e-05
AXT1,file_brain_AXT1_201_6002759,3,-0.06756210327148438,-0.003029028574625651,0.0001444720352689425
AXT1PRE,file_brain_AXT1PRE_200_6002087,3,-0.22967910766601562,-3.335873285929362e-05,0.00025929549398521584
AXT1PRE,file_brain_AXT1PRE_203_6000866,3,-0.42942174275716144,-0.015409449736277262,0.001116497131685416
AXT1PRE,file_brain_AXT1PRE_203_6000687,3,-0.969628651936849,-0.021151761213938396,0.0013503213413059711
AXT1PRE,file_brain_AXT1PRE_203_6000618,3,-0.6828645070393881,-0.02029961347579956,0.0012671832616130512
AXT1PRE,file_brain_AXT1PRE_200_6002448,3,-0.19530741373697916,0.0021131237347920737,0.0001449427412201961
AXT1POST,file_brain_AXT1POST_208_2080649,3,-0.2589111328125,-0.003328243891398112,0.0003162586751083533
AXT1POST,file_brain_AXT1POST_201_6002675,3,-0.15263493855794272,-0.0034872094790140786,0.0003853241602579753
AXT1POST,file_brain_AXT1POST_200_6002048,3,-0.06177647908528646,0.00062789519627889,5.840098795791467e-05
AXT1POST,file_brain_AXT1POST_203_6000745,3,-0.6758028666178385,-0.011500060558319092,0.000986632580558459
AXT1POST,file_brain_AXT1POST_205_6000120,3,-0.0174102783203125,0.0005241036415100098,5.640524129072825e-05
AXT1POST,file_brain_AXT1POST_200_6002027,3,-0.048831939697265625,0.0026084184646606445,6.265876193841298e-05
AXT1POST,file_brain_AXT1POST_210_6001649,3,-0.11277389526367188,0.0016058484713236492,0.00010387607229252656
AXT1POST,file_brain_AXT1POST_201_6002886,3,-0.05276679992675781,-0.004135231177012126,0.00020906701683998108
AXT1POST,file_brain_AXT1POST_209_6001196,3,-0.17873255411783853,0.00031107664108276367,0.00021969014778733253
AXT1POST,file_brain_AXT1POST_205_6000081,3,-0.03739802042643229,0.0013586084047953288,3.314033771554629e-05
AXT1POST,file_brain_AXT1POST_205_6000029,3,0.03331629435221354,0.0017777085304260254,-4.0465034544467926e-05
AXT1POST,file_brain_AXT1POST_200_6002156,3,-0.06937917073567708,-0.0008315841356913248,0.00018357625231146812
AXT1POST,file_brain_AXT1POST_209_6001086,3,-0.06324259440104167,0.001237491766611735,0.00012903629491726557
AXT1POST,file_brain_AXT1POST_205_6000044,3,0.021575927734375,0.00112229585647583,-5.378248170018196e-05
AXT1POST,file_brain_AXT1POST_208_2080342,3,-0.2681509653727214,-0.008675098419189453,0.000810764729976654
AXT1POST,file_brain_AXT1POST_208_2080550,3,-0.1534423828125,-0.0016249616940816243,0.00029596593230962753
AXT1POST,file_brain_AXT1POST_208_2080730,3,-0.26638539632161456,0.0006158749262491862,0.00031177839264273643
