acquisition,volume,cases,mean_ram_equivariance_psnr,mean_ram_equivariance_nmse,mean_delta_ram_psnr,mean_delta_ram_ssim,mean_delta_ram_nmse
AXFLAIR,file_brain_AXFLAIR_200_6002462,3,44.650454095085806,0.0005339863907289879,0.034091949462890625,0.0030612548192342124,-0.00014691070343057314
AXFLAIR,file_brain_AXFLAIR_210_6001526,3,40.99496705302296,0.0013192118967130623,-0.023291269938151043,-0.001561582088470459,3.529184808333715e-05
AXFLAIR,file_brain_AXFLAIR_201_6002975,3,43.86389602501232,0.000889230954256756,0.06435012817382812,0.004169742266337077,-0.00018609454855322838
AXFLAIR,file_brain_AXFLAIR_209_6001358,3,40.410355165737165,0.0010746072217053078,-0.020064036051432293,-0.006294111410776774,2.4658006926377613e-05
AXFLAIR,file_brain_AXFLAIR_200_6002581,3,42.62496332390543,0.0011524538976179686,0.11271031697591145,0.0023548205693562827,-0.0003674700856208801
AXFLAIR,file_brain_AXFLAIR_201_6002872,3,44.481313473347036,0.0007749930121905825,0.054927825927734375,0.0016280412673950195,-8.857203647494316e-05
AXT1,file_brain_AXT1_202_2020215,3,43.004553746825145,0.0011609878037145461,0.10116958618164062,-0.004826366901397705,-0.00013138369346658388
AXT1,file_brain_AXT1_201_6002759,3,37.15764764539731,0.0017238268659296521,-0.024822235107421875,0.0024567842483520508,5.3777825087308884e-05
AXT1PRE,file_brain_AXT1PRE_200_6002087,3,41.71239759938002,0.0012020093479651007,0.018339792887369793,-0.0010819435119628906,-7.003390540679295e-05
AXT1PRE,file_brain_AXT1PRE_203_6000866,3,48.44440223985376,0.0005492128125455253,0.07188924153645833,0.0010515451431274414,-0.00018662804116805395
AXT1PRE,file_brain_AXT1PRE_203_6000687,3,41.8320210316553,0.0011371964986966027,-0.10919825236002605,-0.0009315013885498047,0.00011678629865248998
AXT1PRE,file_brain_AXT1PRE_203_6000618,3,43.703107289381464,0.0008268654452313314,-0.06899770100911458,0.0003908872604370117,0.0001127142459154129
AXT1PRE,file_brain_AXT1PRE_200_6002448,3,42.72073087809499,0.0008585234537856339,0.025255839029947918,-0.00025647878646850586,-2.2736222793658573e-05
AXT1POST,file_brain_AXT1POST_208_2080649,3,45.377878200774646,0.000918907959293826,0.052396138509114586,0.00026410818099975586,-5.198627089460691e-05
AXT1POST,file_brain_AXT1POST_201_6002675,3,40.13325111702268,0.0018236078312555792,-0.08112335205078125,0.001472016175587972,0.00021970147887865701
AXT1POST,file_brain_AXT1POST_200_6002048,3,50.388409015976215,0.00042911805734821253,0.11041514078776042,-0.00037926435470581055,-5.7551078498363495e-05
AXT1POST,file_brain_AXT1POST_203_6000745,3,43.75859477156053,0.000882509109556552,0.17707061767578125,0.0015000303586324055,-0.0002601230517029762
AXT1POST,file_brain_AXT1POST_205_6000120,3,42.65065347047123,0.0015484837488338715,0.12988408406575522,-0.0012690623601277669,-0.00012655369937419891
AXT1POST,file_brain_AXT1POST_200_6002027,3,40.192788415331876,0.0011017091382028957,-0.041430155436197914,-0.004981696605682373,4.3083292742570244e-05
AXT1POST,file_brain_AXT1POST_210_6001649,3,43.288382478622296,0.0007873058081991847,-0.1715265909830729,-0.0013741850852966309,0.00016539862068990865
AXT1POST,file_brain_AXT1POST_201_6002886,3,42.07046523597762,0.0009744443392357614,0.1544621785481771,0.0036977330843607583,-0.0005906211833159128
AXT1POST,file_brain_AXT1POST_209_6001196,3,43.558170118079104,0.001103567743079017,0.021312713623046875,0.0007706681887308756,-2.7940453340609867e-05
AXT1POST,file_brain_AXT1POST_205_6000081,3,45.87406259595168,0.0011219540691138692,0.2863616943359375,0.0006424784660339355,-0.0004260505860050519
AXT1POST,file_brain_AXT1POST_205_6000029,3,43.6140015783154,0.0008289705106398512,0.01380157470703125,-0.017711997032165527,-2.0368024706840515e-06
AXT1POST,file_brain_AXT1POST_200_6002156,3,42.06812570909156,0.0011730983353428531,-0.08866628011067708,0.0004002849260965983,0.00014698567489782968
AXT1POST,file_brain_AXT1POST_209_6001086,3,41.5206850512945,0.0017140328070784437,0.14653650919596353,0.0011104742685953777,-0.00026884302496910095
AXT1POST,file_brain_AXT1POST_205_6000044,3,43.07490035452486,0.002122534591030898,0.1569188435872396,-0.0007706483205159506,-0.0004416146936515967
AXT1POST,file_brain_AXT1POST_208_2080342,3,38.40128302927683,0.002831263553800298,0.3593559265136719,0.0030579368273417154,-0.0011546559010942776
AXT1POST,file_brain_AXT1POST_208_2080550,3,42.27793562647235,0.0013217774636600887,-0.1135406494140625,-0.0032116572062174478,0.00020899809896945953
AXT1POST,file_brain_AXT1POST_208_2080730,3,45.084304581783485,0.0009288044558977708,0.0728912353515625,0.0002879699071248372,-8.720749368270238e-05
