acquisition,volume,slice,zero_filled_vs_cropped_reference.psnr,zero_filled_vs_cropped_reference.ssim,zero_filled_vs_cropped_reference.nmse,cropped_ram_vs_cropped_reference.psnr,cropped_ram_vs_cropped_reference.ssim,cropped_ram_vs_cropped_reference.nmse,original_ram_full_vs_original_reference.psnr,original_ram_full_vs_original_reference.ssim,original_ram_full_vs_original_reference.nmse,original_ram_center_crop_vs_cropped_reference.psnr,original_ram_center_crop_vs_cropped_reference.ssim,original_ram_center_crop_vs_cropped_reference.nmse,delta_original_full_to_cropped_ram.psnr,delta_original_full_to_cropped_ram.ssim,delta_original_full_to_cropped_ram.nmse,delta_original_same_region_to_cropped_ram.psnr,delta_original_same_region_to_cropped_ram.ssim,delta_original_same_region_to_cropped_ram.nmse,crop_equivariance_cropped_ram_vs_original_ram_center_crop.psnr,crop_equivariance_cropped_ram_vs_original_ram_center_crop.ssim,crop_equivariance_cropped_ram_vs_original_ram_center_crop.nmse,rss_cropped_ram_metrics.psnr,rss_cropped_ram_metrics.ssim,rss_cropped_ram_metrics.nmse
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,24.523300170898438,0.7171950936317444,0.03143491595983505,28.273075103759766,0.8184510469436646,0.013256683945655823,31.179258346557617,0.8755755424499512,0.008381004445254803,30.28005027770996,0.8529393672943115,0.008350980468094349,-2.9061832427978516,-0.05712449550628662,0.00487567950040102,-2.0069751739501953,-0.03448832035064697,0.004905703477561474,28.926069259643555,0.8147181868553162,0.008414274081587791,24.599994659423828,0.5551877617835999,0.02948557585477829
AXFLAIR,file_brain_AXFLAIR_201_6002974,5,25.37674331665039,0.7444528937339783,0.025279752910137177,28.171390533447266,0.8173470497131348,0.013283362612128258,30.88304901123047,0.871928334236145,0.008782794699072838,29.977703094482422,0.8463988304138184,0.008763491176068783,-2.711658477783203,-0.054581284523010254,0.00450056791305542,-1.8063125610351562,-0.029051780700683594,0.004519871436059475,29.615493774414062,0.8178754448890686,0.007202174514532089,24.48668098449707,0.5305351614952087,0.029731059446930885
AXFLAIR,file_brain_AXFLAIR_201_6002974,13,30.610275268554688,0.8848155736923218,0.024746570736169815,32.14019775390625,0.8896674513816833,0.017398929223418236,34.246131896972656,0.9140263199806213,0.01322648860514164,33.33595275878906,0.8985300064086914,0.013211343437433243,-2.1059341430664062,-0.02435886859893799,0.004172440618276596,-1.1957550048828125,-0.008862555027008057,0.004187585785984993,33.58258819580078,0.9063610434532166,0.010091324336826801,21.521697998046875,0.29888656735420227,0.15749363601207733
AXT1,file_brain_AXT1_202_2020181,9,27.568937301635742,0.8137617707252502,0.05151412636041641,33.2726936340332,0.9044080972671509,0.013853219337761402,36.491085052490234,0.9300834536552429,0.008150692097842693,35.604103088378906,0.9226177930831909,0.008098597638309002,-3.2183914184570312,-0.02567535638809204,0.005702527239918709,-2.331409454345703,-0.01820969581604004,0.0057546216994524,37.61396026611328,0.9679519534111023,0.004051672760397196,30.467256546020508,0.6021764874458313,0.025582829490303993
AXT1,file_brain_AXT1_202_2020181,3,27.057209014892578,0.7714573740959167,0.07115744799375534,32.3516731262207,0.8967752456665039,0.021026844158768654,34.11902618408203,0.9157540798187256,0.016279784962534904,33.282081604003906,0.9077745676040649,0.016972003504633904,-1.7673530578613281,-0.01897883415222168,0.004747059196233749,-0.9304084777832031,-0.010999321937561035,0.00405484065413475,36.74104690551758,0.9555639624595642,0.005702067166566849,31.345550537109375,0.7243030071258545,0.025790326297283173
AXT1,file_brain_AXT1_202_2020181,4,26.96904182434082,0.7807694673538208,0.07096564024686813,32.60392761230469,0.9066785573959351,0.019389154389500618,34.45002746582031,0.9212377667427063,0.014912019483745098,33.59589385986328,0.9131605625152588,0.015429886057972908,-1.846099853515625,-0.01455920934677124,0.00447713490575552,-0.9919662475585938,-0.0064820051193237305,0.00395926833152771,36.438941955566406,0.9546140432357788,0.005770564079284668,31.36271095275879,0.7184227108955383,0.025078754872083664
AXT1PRE,file_brain_AXT1PRE_203_6000868,4,24.104183197021484,0.7368112206459045,0.0478038564324379,31.194374084472656,0.8549561500549316,0.009342089295387268,34.07146453857422,0.8953253030776978,0.005945348646491766,33.20280456542969,0.8791763782501221,0.005883031524717808,-2.8770904541015625,-0.04036915302276611,0.003396740648895502,-2.0084304809570312,-0.02422022819519043,0.0034590577706694603,32.95527267456055,0.8994600176811218,0.005391807295382023,30.505006790161133,0.7276702523231506,0.010869204066693783
AXT1PRE,file_brain_AXT1PRE_203_6000868,8,28.083040237426758,0.8273558616638184,0.026910336688160896,32.2773323059082,0.8815602660179138,0.010244486853480339,34.589202880859375,0.9128933548927307,0.007426162716001272,33.702972412109375,0.897896945476532,0.007377785164862871,-2.311870574951172,-0.031333088874816895,0.002818324137479067,-1.4256401062011719,-0.016336679458618164,0.002866701688617468,33.64381790161133,0.9044944643974304,0.006895589642226696,30.26901626586914,0.6174917221069336,0.01602986641228199
AXT1PRE,file_brain_AXT1PRE_203_6000868,7,26.55766487121582,0.7996500134468079,0.03382231667637825,31.48040008544922,0.8690078258514404,0.010887541808187962,34.39540100097656,0.9119773507118225,0.006868857890367508,33.514530181884766,0.8969338536262512,0.006815803237259388,-2.9150009155273438,-0.04296952486038208,0.004018683917820454,-2.034130096435547,-0.02792602777481079,0.004071738570928574,33.06812286376953,0.8986481428146362,0.006607602816075087,30.12352752685547,0.6576907634735107,0.014698817394673824
AXT1POST,file_brain_AXT1POST_205_2050067,7,27.299678802490234,0.8052307963371277,0.03941623494029045,33.04991912841797,0.9063544869422913,0.010486993938684464,35.77070999145508,0.9297196865081787,0.006918936036527157,34.88333511352539,0.9185624122619629,0.006875582970678806,-2.7207908630371094,-0.02336519956588745,0.0035680579021573067,-1.8334159851074219,-0.01220792531967163,0.003611410968005657,34.851234436035156,0.9208518862724304,0.00562671385705471,29.123069763183594,0.6060435771942139,0.0248417928814888
