acquisition,volume,slice,normalization_scale,computed_rotated_zf_p99_5_scale_diagnostic_only,normalization_scale_abs_consistency_error,reference_max_abs_consistency_error,zf_max_abs_consistency_error,mask_max_abs_consistency_error,sampled_fraction,achieved_acceleration,sampling_direction,sampled_rows,sampled_columns,ram_rotation_equivariance_psnr,ram_rotation_equivariance_nmse,ram_rotation_equivariance_mean_abs_error,original_ram_psnr,rotated_ram_psnr,delta_ram_psnr,original_ram_ssim,rotated_ram_ssim,delta_ram_ssim,original_ram_nmse,rotated_ram_nmse,delta_ram_nmse
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,0.00016160875384230167,0.00016160873929038644,0.0,0.0,5.960464477539062e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,34.55291907214213,0.002843315951982999,0.013139963984809776,31.179258346557617,31.178926467895508,-0.000331878662109375,0.8755755424499512,0.8714820742607117,-0.004093468189239502,0.008381004445254803,0.008381647057831287,6.426125764846802e-07
AXFLAIR,file_brain_AXFLAIR_201_6002974,5,0.00016032828716561198,0.0001603283017175272,0.0,0.0,5.364418029785156e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,37.33336513033221,0.001503748578808153,0.009281660369785305,30.88304901123047,31.151752471923828,0.2687034606933594,0.871928334236145,0.872761070728302,0.0008327364921569824,0.008782794699072838,0.008255869150161743,-0.0005269255489110947
AXFLAIR,file_brain_AXFLAIR_201_6002974,13,0.0001184767679660581,0.0001184767679660581,0.0,0.0,5.960464477539062e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,46.096528070144466,0.0006983325423805195,0.004041816334706549,34.246131896972656,34.250450134277344,0.0043182373046875,0.9140263199806213,0.9195554256439209,0.0055291056632995605,0.01322648860514164,0.013213329017162323,-1.3159587979316711e-05
AXT1,file_brain_AXT1_202_2020181,9,0.0006810565828345716,0.0006810565246269107,0.0,0.0,4.76837158203125e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,42.34406262220357,0.0016831706062967278,0.005811780860370428,36.491085052490234,36.36478805541992,-0.1262969970703125,0.9300834536552429,0.9273176193237305,-0.002765834331512451,0.008150692097842693,0.008391204290091991,0.0002405121922492981
AXT1,file_brain_AXT1_202_2020181,3,0.0007088794372975826,0.0007088794372975826,0.0,0.0,5.960464477539062e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,39.74496095726806,0.0033154985317566488,0.0082844871781807,34.11902618408203,34.34563064575195,0.22660446166992188,0.9157540798187256,0.9157255291938782,-2.855062484741211e-05,0.016279784962534904,0.015452121384441853,-0.0008276635780930519
AXT1,file_brain_AXT1_202_2020181,4,0.0007185758440755308,0.0007185757858678699,0.0,0.0,5.960464477539062e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,39.15177841601491,0.0036297473508402904,0.00840251045348281,34.45002746582031,34.740455627441406,0.29042816162109375,0.9212377667427063,0.9230167269706726,0.0017789602279663086,0.014912019483745098,0.013947417959570885,-0.0009646015241742134
AXT1PRE,file_brain_AXT1PRE_203_6000868,4,0.0004537467029877007,0.0004537467029877007,0.0,0.0,4.76837158203125e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,37.282904657629295,0.0024571320483645622,0.009677697865696184,34.07146453857422,34.192161560058594,0.120697021484375,0.8953253030776978,0.9019054770469666,0.006580173969268799,0.005945348646491766,0.005782389082014561,-0.00016295956447720528
AXT1PRE,file_brain_AXT1PRE_203_6000868,8,0.000430366606451571,0.00043036669376306236,0.0,0.0,4.76837158203125e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,41.5668269881033,0.001373191972897673,0.005607059522279556,34.589202880859375,34.97149658203125,0.382293701171875,0.9128933548927307,0.9140641689300537,0.001170814037322998,0.007426162716001272,0.006800414528697729,-0.0006257481873035431
AXT1PRE,file_brain_AXT1PRE_203_6000868,7,0.00043583897058852017,0.00043583891238085926,0.0,0.0,4.76837158203125e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,40.100637505655286,0.0016152944559523282,0.006911914250456936,34.39540100097656,34.8574104309082,0.4620094299316406,0.9119773507118225,0.9169014692306519,0.004924118518829346,0.006868857890367508,0.006175660993903875,-0.0006931968964636326
AXT1POST,file_brain_AXT1POST_205_2050067,7,0.0004231295606587082,0.00042312953155487776,0.0,0.0,5.960464477539062e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,39.03997118865512,0.002647720487450865,0.008560806141885821,35.77070999145508,36.43257522583008,0.661865234375,0.9297196865081787,0.9305173754692078,0.0007976889610290527,0.006918936036527157,0.005940908566117287,-0.0009780274704098701
AXT1POST,file_brain_AXT1POST_205_2050067,12,0.0005649446975439787,0.0005649448139593005,0.0,0.0,5.960464477539062e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,42.95337344309969,0.0011661133812645177,0.0048262977622154325,37.572200775146484,37.428497314453125,-0.14370346069335938,0.9235963225364685,0.9303817749023438,0.006785452365875244,0.004794096574187279,0.004955383948981762,0.00016128737479448318
AXT1POST,file_brain_AXT1POST_205_2050067,4,0.00040657148929312825,0.00040657148929312825,0.0,0.0,5.960464477539062e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,38.1085670937331,0.0037389245559692123,0.009970917062801647,36.01665115356445,36.37077331542969,0.3541221618652344,0.9314088225364685,0.9301056265830994,-0.0013031959533691406,0.008154782466590405,0.0075162374414503574,-0.0006385450251400471
AXT1POST,file_brain_AXT1POST_209_6001231,9,0.00046974708675406873,0.00046974714496172965,0.0,0.0,4.76837158203125e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,42.635180583521894,0.001339995727525535,0.004930328374335801,38.29252243041992,37.33625793457031,-0.9562644958496094,0.9356892108917236,0.9272602796554565,-0.00842893123626709,0.0038043148815631866,0.0047413622960448265,0.0009370474144816399
AXT1POST,file_brain_AXT1POST_209_6001231,4,0.0005146895418874919,0.000514689483679831,0.0,0.0,4.76837158203125e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,39.666155639797424,0.002779856364639687,0.00724930191085881,37.13962173461914,36.804832458496094,-0.3347892761230469,0.9330288767814636,0.9296504259109497,-0.003378450870513916,0.005707912612706423,0.006165327504277229,0.0004574148915708065
AXT1POST,file_brain_AXT1POST_209_6001231,5,0.0005125806201249361,0.0005125806201249361,0.0,0.0,4.76837158203125e-07,0.0,0.25,4.0,height/second-last dimension (horizontal sampled lines),80,320,41.286455012828824,0.0021625575044247262,0.006700809037953528,37.53705596923828,37.25873947143555,-0.2783164978027344,0.9306735992431641,0.9260265827178955,-0.004647016525268555,0.004874168895184994,0.0051967487670481205,0.00032257987186312675
