acquisition,volume,slice,case_dir,clean_scale,text_scale,scale_difference,actual_acceleration,text_active_pixels,text_reference_p995_unscaled,text_amplitude_unscaled,text_amplitude_normalized,original_zero_filled_psnr,text_zero_filled_psnr,delta_zero_filled_psnr,original_zero_filled_ssim,text_zero_filled_ssim,delta_zero_filled_ssim,original_zero_filled_nmse,text_zero_filled_nmse,delta_zero_filled_nmse,zero_filled_text_region_mae,zero_filled_text_region_rmse,zero_filled_text_region_nmse,zero_filled_text_region_bias,zero_filled_non_text_region_mae,zero_filled_non_text_region_rmse,zero_filled_non_text_region_nmse,zero_filled_non_text_region_bias,zero_filled_recovery_target_mean_delta,zero_filled_recovery_recovered_mean_delta,zero_filled_recovery_contrast_recovery_ratio,zero_filled_recovery_projection_coefficient,zero_filled_recovery_relative_l2_error,zero_filled_recovery_delta_mae,zero_filled_recovery_delta_rmse,zero_filled_recovery_outside_leakage_mae,zero_filled_recovery_outside_leakage_rms,zero_filled_recovery_outside_leakage_rms_relative_to_target,original_ram_psnr,text_ram_psnr,delta_ram_psnr,original_ram_ssim,text_ram_ssim,delta_ram_ssim,original_ram_nmse,text_ram_nmse,delta_ram_nmse,ram_text_region_mae,ram_text_region_rmse,ram_text_region_nmse,ram_text_region_bias,ram_non_text_region_mae,ram_non_text_region_rmse,ram_non_text_region_nmse,ram_non_text_region_bias,ram_recovery_target_mean_delta,ram_recovery_recovered_mean_delta,ram_recovery_contrast_recovery_ratio,ram_recovery_projection_coefficient,ram_recovery_relative_l2_error,ram_recovery_delta_mae,ram_recovery_delta_rmse,ram_recovery_outside_leakage_mae,ram_recovery_outside_leakage_rms,ram_recovery_outside_leakage_rms_relative_to_target
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXFLAIR_201_6002974/slice-003/text-small,0.00016160875384230167,0.00016160875384230167,0.0,4.0,216,0.00017139589181169868,1.7139589544967748e-05,0.10605607181787491,26.30354118347168,26.286476135253906,-0.017065048217773438,0.7903011441230774,0.785925567150116,-0.004375576972961426,0.025755375623703003,0.025853382423520088,9.800679981708527e-05,0.09679179638624191,0.09923934191465378,0.773075520992279,-0.09679179638624191,0.04054366052150726,0.0721498355269432,0.02575383149087429,-0.002420369302853942,0.1060560867190361,0.005214237608015537,0.04916490669535169,0.04916492477059364,0.9592507481575012,0.10084184259176254,0.10173436254262924,4.3813823140226305e-05,0.00042672472773119807,0.004023577086627483,31.179258346557617,31.124509811401367,-0.05474853515625,0.8755755424499512,0.8712387084960938,-0.004336833953857422,0.008381004445254803,0.008486215956509113,0.00010521151125431061,0.09359917789697647,0.09701573103666306,0.7388197183609009,-0.0932479277253151,0.024632077664136887,0.041178200393915176,0.008388916961848736,-0.0012528101215139031,0.1060560867190361,0.012198518961668015,0.11501950844164507,0.1150195375084877,0.9160647988319397,0.09393449872732162,0.09715422987937927,0.00015525163325946778,0.0007813567644916475,0.007367393467575312
AXFLAIR,file_brain_AXFLAIR_201_6002974,5,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXFLAIR_201_6002974/slice-005/text-small,0.00016032828716561198,0.00016032828716561198,0.0,4.0,216,0.00017022682004608214,1.7022683096001856e-05,0.10617392510175705,27.162200927734375,27.139034271240234,-0.023166656494140625,0.808793306350708,0.8035824298858643,-0.00521087646484375,0.020687952637672424,0.020796185359358788,0.00010823272168636322,0.10455680638551712,0.10483455657958984,0.9407121539115906,-0.10455680638551712,0.036446619778871536,0.06595729291439056,0.020688148215413094,-0.001444834633730352,0.10617391020059586,0.001776841003447771,0.01673519417426334,0.01673518866300583,0.985511064529419,0.10439706593751907,0.1046355813741684,1.3044428669672925e-05,0.00021383102284744382,0.002013969235122204,30.88304901123047,30.8304443359375,-0.05260467529296875,0.871928334236145,0.8669878840446472,-0.004940450191497803,0.008782794699072838,0.008888786658644676,0.00010599195957183838,0.10132584720849991,0.10229437798261642,0.895676851272583,-0.10132584720849991,0.02488953247666359,0.04297976568341255,0.008784640580415726,-1.9774850443354808e-05,0.10617391020059586,0.004247527569532394,0.0400053794901919,0.04000537097454071,0.9709897637367249,0.10192640870809555,0.10309379547834396,5.630055602523498e-05,0.00038308545481413603,0.003608093596994877
AXFLAIR,file_brain_AXFLAIR_201_6002974,13,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXFLAIR_201_6002974/slice-013/text-small,0.0001184767679660581,0.0001184767679660581,0.0,4.0,216,0.00012521418102551252,1.2521418284450192e-05,0.10568669438362122,32.160614013671875,32.09687805175781,-0.0637359619140625,0.9098544120788574,0.9045208692550659,-0.005333542823791504,0.021379437297582626,0.021688634529709816,0.00030919723212718964,0.10568667203187943,0.10568669438362122,1.0,-0.10568667203187943,0.016085373237729073,0.03996456414461136,0.021379439160227776,-0.0014304156647995114,0.10568667203187943,0.0,0.0,0.0,1.0,0.10568667203187943,0.10568669438362122,0.0,0.0,0.0,34.246131896972656,34.145137786865234,-0.10099411010742188,0.9140263199806213,0.9088580012321472,-0.005168318748474121,0.01322648860514164,0.01353338360786438,0.0003068950027227402,0.10487102717161179,0.10487104207277298,0.9846242666244507,-0.10487102717161179,0.014619682915508747,0.03143394738435745,0.013226469978690147,0.000806643336545676,0.10568667203187943,0.0,0.0,0.0,1.0,0.10568667203187943,0.10568669438362122,0.0,0.0,0.0
AXT1,file_brain_AXT1_202_2020181,9,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1_202_2020181/slice-009/text-small,0.0006810565828345716,0.0006810565828345716,0.0,4.0,216,0.0007283793529495597,7.283793820533901e-05,0.10694843530654907,29.63951301574707,29.59695816040039,-0.04255485534667969,0.8638376593589783,0.8583396673202515,-0.005497992038726807,0.039477668702602386,0.039850905537605286,0.00037323683500289917,0.10694842785596848,0.10694843530654907,1.0,-0.10694842785596848,0.026558082550764084,0.04955223202705383,0.039477672427892685,0.00224437122233212,0.10694842785596848,0.0,0.0,0.0,1.0,0.10694842785596848,0.10694843530654907,0.0,0.0,0.0,36.491085052490234,36.29065704345703,-0.20042800903320312,0.9300834536552429,0.9246766567230225,-0.005406796932220459,0.008150692097842693,0.00853235274553299,0.0003816606476902962,0.10643258690834045,0.10643279552459717,0.9903804659843445,-0.10643258690834045,0.012593899853527546,0.02251564711332321,0.008150682784616947,0.0004345235647633672,0.10694842785596848,0.0,0.0,0.0,1.0,0.10694842785596848,0.10694843530654907,0.0,0.0,0.0
AXT1,file_brain_AXT1_202_2020181,3,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1_202_2020181/slice-003/text-small,0.0007088794372975826,0.0007088794372975826,0.0,4.0,216,0.000810138531960547,8.101385174086317e-05,0.11428438872098923,28.71966552734375,28.700756072998047,-0.018909454345703125,0.8197883367538452,0.817403256893158,-0.002385079860687256,0.056439656764268875,0.05666154623031616,0.000221889466047287,0.08941616863012314,0.0951438620686531,0.611729621887207,-0.08894647657871246,0.03483083099126816,0.06371542066335678,0.05642024055123329,0.0032575251534581184,0.11428438872098923,0.007498977240175009,0.0656168119206798,0.06561680138111115,0.9471990466117859,0.10678540170192719,0.10825006663799286,7.052985165501013e-05,0.0006867494084872305,0.0060091265477240086,34.11902618408203,34.03564453125,-0.08338165283203125,0.9157540798187256,0.9122342467308044,-0.0035198330879211426,0.016279784962534904,0.016588198021054268,0.0003084130585193634,0.10028890520334244,0.10219620168209076,0.7057769894599915,-0.0998041182756424,0.018245754763484,0.03423488140106201,0.01628858782351017,0.0007416272419504821,0.11428438872098923,0.01732204109430313,0.15156961758436394,0.15156960487365723,0.8764158487319946,0.09783729165792465,0.10016065835952759,0.00014099142572376877,0.0008915002690628171,0.007800717372447252
AXT1,file_brain_AXT1_202_2020181,4,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1_202_2020181/slice-004/text-small,0.0007185758440755308,0.0007185758440755308,0.0,4.0,216,0.0008134949603118002,8.134949894156307e-05,0.11320934444665909,28.69450569152832,28.669069290161133,-0.0254364013671875,0.8294659852981567,0.8256629705429077,-0.0038030147552490234,0.056116316467523575,0.056421734392642975,0.0003054179251194,0.10039245337247849,0.10310550034046173,0.7641792893409729,-0.10039245337247849,0.03303501009941101,0.06187831610441208,0.056116700172424316,0.0027707621920853853,0.11320935189723969,0.005944104865193367,0.052505422613750505,0.052505429834127426,0.9571238160133362,0.10726524889469147,0.10835535824298859,5.922976561123505e-05,0.0006209685816429555,0.005485135596245527,34.45002746582031,34.35346984863281,-0.0965576171875,0.9212377667427063,0.9173339009284973,-0.0039038658142089844,0.014912019483745098,0.0152407456189394,0.0003287261351943016,0.0981205478310585,0.1010417491197586,0.7338939905166626,-0.09806888550519943,0.01693730801343918,0.031918108463287354,0.014931020326912403,0.0008667306392453611,0.11320935189723969,0.01712678372859955,0.15128417786673276,0.15128418803215027,0.8840427398681641,0.09646410495042801,0.1000818982720375,0.00013347697677090764,0.0009202889632433653,0.008129090070724487
AXT1PRE,file_brain_AXT1PRE_203_6000868,4,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1PRE_203_6000868/slice-004/text-small,0.0004537467029877007,0.0004537467029877007,0.0,4.0,216,0.0004994237679056823,4.994237679056823e-05,0.11006664484739304,26.209922790527344,26.188720703125,-0.02120208740234375,0.7973964810371399,0.7927038669586182,-0.0046926140785217285,0.036335524171590805,0.036505330353975296,0.00016980618238449097,0.1011720523238182,0.10388559848070145,0.8402276635169983,-0.10032471269369125,0.03655000776052475,0.06676613539457321,0.03632749989628792,0.0015948629006743431,0.11006665229797363,0.0029457281343638897,0.02676313009311106,0.026763131842017174,0.9779939651489258,0.10712092369794846,0.10764452069997787,3.960283356718719e-05,0.0003961885522585362,0.003599533112719655,34.07146453857422,33.933292388916016,-0.13817214965820312,0.8953253030776978,0.8904812932014465,-0.004844009876251221,0.005945348646491766,0.006136186420917511,0.000190837774425745,0.09971468895673752,0.10238973796367645,0.8162047266960144,-0.09945135563611984,0.017239222303032875,0.027036497369408607,0.005956948269158602,0.0016178088262677193,0.11006665229797363,0.009174464270472527,0.08335371412619436,0.08335370570421219,0.9409070014953613,0.10102242231369019,0.10356248170137405,0.00010855041909962893,0.0006310304743237793,0.005733166821300983
AXT1PRE,file_brain_AXT1PRE_203_6000868,8,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1PRE_203_6000868/slice-008/text-small,0.000430366606451571,0.000430366606451571,0.0,4.0,216,0.0004612098855432123,4.612098928191699e-05,0.10716674476861954,30.02836036682129,29.969654083251953,-0.05870628356933594,0.8693519234657288,0.8636053204536438,-0.005746603012084961,0.021225055679678917,0.021507693454623222,0.0002826377749443054,0.10716675966978073,0.10716674476861954,1.0,-0.10716675966978073,0.023140309378504753,0.04223601520061493,0.021225059404969215,0.0006065816269256175,0.10716675966978073,0.0,0.0,0.0,1.0,0.10716675966978073,0.10716674476861954,0.0,0.0,0.0,34.589202880859375,34.426048278808594,-0.16315460205078125,0.9128933548927307,0.9073312282562256,-0.005562126636505127,0.007426162716001272,0.007708228193223476,0.0002820654772222042,0.10632103681564331,0.10632115602493286,0.9842814803123474,-0.10632103681564331,0.015019076876342297,0.024982748553156853,0.0074261450208723545,0.0007726827170699835,0.10716675966978073,0.0,0.0,0.0,1.0,0.10716675966978073,0.10716674476861954,0.0,0.0,0.0
AXT1PRE,file_brain_AXT1PRE_203_6000868,7,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1PRE_203_6000868/slice-007/text-small,0.00043583897058852017,0.00043583897058852017,0.0,4.0,216,0.0004697323020081967,4.697322947322391e-05,0.10777656733989716,28.448936462402344,28.40929412841797,-0.039642333984375,0.8482109904289246,0.8424943089485168,-0.005716681480407715,0.027010371908545494,0.027251306921243668,0.00024093501269817352,0.10777655243873596,0.10777656733989716,1.0,-0.10777655243873596,0.02841321751475334,0.05174577981233597,0.027010371908545494,0.0010611478937789798,0.10777655243873596,0.0,0.0,0.0,1.0,0.10777655243873596,0.10777656733989716,0.0,0.0,0.0,34.39540100097656,34.24382019042969,-0.151580810546875,0.9119773507118225,0.9064299464225769,-0.0055474042892456055,0.006868857890367508,0.007111069746315479,0.00024221185594797134,0.10696908831596375,0.10696923732757568,0.9850746393203735,-0.10696908831596375,0.016067758202552795,0.026094648987054825,0.006868843454867601,0.0008683293126523495,0.10777655243873596,0.0,0.0,0.0,1.0,0.10777655243873596,0.10777656733989716,0.0,0.0,0.0
AXT1POST,file_brain_AXT1POST_205_2050067,7,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1POST_205_2050067/slice-007/text-small,0.0004231295606587082,0.0004231295606587082,0.0,4.0,216,0.00046619208296760917,4.66192104795482e-05,0.11017715185880661,29.163244247436523,29.129026412963867,-0.03421783447265625,0.8493026494979858,0.8438999652862549,-0.005402684211730957,0.03168005496263504,0.031922657042741776,0.00024260208010673523,0.11017714440822601,0.11017715930938721,1.0,-0.11017714440822601,0.030118519440293312,0.056954577565193176,0.03168005496263504,0.002804378280416131,0.11017714440822601,0.0,0.0,0.0,1.0,0.11017714440822601,0.11017715930938721,0.0,0.0,0.0,35.77070999145508,35.619384765625,-0.15132522583007812,0.9297196865081787,0.9245584607124329,-0.00516122579574585,0.006918936036527157,0.007162471301853657,0.00024353526532649994,0.10901842266321182,0.10901941359043121,0.9790942668914795,-0.10901842266321182,0.014766654931008816,0.02661670744419098,0.00691890437155962,-9.4995002655196e-06,0.11017714440822601,0.0,0.0,0.0,1.0,0.11017714440822601,0.11017715930938721,0.0,0.0,0.0
