acquisition,volume,slice,case_dir,clean_scale,text_scale,scale_difference,actual_acceleration,text_active_pixels,text_reference_p995_unscaled,text_amplitude_unscaled,text_amplitude_normalized,encoded_text_l2_unscaled,encoded_to_clean_measurement_l2_ratio,mean_sensitivity_power_on_text,original_zero_filled_psnr,text_zero_filled_psnr,delta_zero_filled_psnr,original_zero_filled_ssim,text_zero_filled_ssim,delta_zero_filled_ssim,original_zero_filled_nmse,text_zero_filled_nmse,delta_zero_filled_nmse,zero_filled_text_region_mae,zero_filled_text_region_rmse,zero_filled_text_region_nmse,zero_filled_text_region_bias,zero_filled_non_text_region_mae,zero_filled_non_text_region_rmse,zero_filled_non_text_region_nmse,zero_filled_non_text_region_bias,zero_filled_recovery_target_mean_delta,zero_filled_recovery_recovered_mean_delta,zero_filled_recovery_contrast_recovery_ratio,zero_filled_recovery_projection_coefficient,zero_filled_recovery_relative_l2_error,zero_filled_recovery_delta_mae,zero_filled_recovery_delta_rmse,zero_filled_recovery_outside_leakage_mae,zero_filled_recovery_outside_leakage_rms,zero_filled_recovery_outside_leakage_rms_relative_to_target,original_ram_psnr,text_ram_psnr,delta_ram_psnr,original_ram_ssim,text_ram_ssim,delta_ram_ssim,original_ram_nmse,text_ram_nmse,delta_ram_nmse,ram_text_region_mae,ram_text_region_rmse,ram_text_region_nmse,ram_text_region_bias,ram_non_text_region_mae,ram_non_text_region_rmse,ram_non_text_region_nmse,ram_non_text_region_bias,ram_recovery_target_mean_delta,ram_recovery_recovered_mean_delta,ram_recovery_contrast_recovery_ratio,ram_recovery_projection_coefficient,ram_recovery_relative_l2_error,ram_recovery_delta_mae,ram_recovery_delta_rmse,ram_recovery_outside_leakage_mae,ram_recovery_outside_leakage_rms,ram_recovery_outside_leakage_rms_relative_to_target
AXFLAIR,file_brain_AXFLAIR_201_6002974,3,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXFLAIR_201_6002974/slice-003/text-small,0.00016160875384230167,0.00016160875384230167,0.0,4.0,216,0.00017139589181169868,1.7139589544967748e-05,0.10605607181787491,0.00018571061082184315,0.008090248196924277,1.0,26.30354118347168,26.2949275970459,-0.00861358642578125,0.7903011441230774,0.7903533577919006,5.221366882324219e-05,0.025755375623703003,0.025775762274861336,2.0386651158332825e-05,0.10543160885572433,0.12875059247016907,0.038236744701862335,-0.05554717406630516,0.04037617892026901,0.07198065519332886,0.025719081982970238,-0.002303222194314003,0.10605607181787491,0.05801722779870033,0.5470429632574982,0.5470430254936218,0.4765492081642151,0.048038844019174576,0.05054093152284622,0.00016333420353475958,0.0017856694757938385,0.01683703251183033,31.179258346557617,31.164470672607422,-0.014787673950195312,0.8755755424499512,0.8756367564201355,6.121397018432617e-05,0.008381004445254803,0.00839957594871521,1.8571503460407257e-05,0.061295025050640106,0.07470060884952545,0.012871545739471912,-0.028078928589820862,0.02452876605093479,0.04108564928174019,0.008379233069717884,-0.0012172572314739227,0.10605607181787491,0.07622943818569183,0.718765431144735,0.7187655568122864,0.33990126848220825,0.031397465616464615,0.03604859113693237,0.00026703174808062613,0.0015977203147485852,0.015064865350723267
AXFLAIR,file_brain_AXFLAIR_201_6002974,5,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXFLAIR_201_6002974/slice-005/text-small,0.00016032828716561198,0.00016032828716561198,0.0,4.0,216,0.00017022682004608214,1.7022683096001856e-05,0.10617392510175705,0.00018676501349546015,0.008002070423839089,1.0,27.162200927734375,27.151912689208984,-0.010288238525390625,0.808793306350708,0.8086572289466858,-0.0001360774040222168,0.020687952637672424,0.020717844367027283,2.98917293548584e-05,0.09220679849386215,0.11461574584245682,0.04238332808017731,-0.05757269263267517,0.03629761561751366,0.06582459062337875,0.020650191232562065,-0.0013242714339867234,0.10617392510175705,0.05897696688771248,0.5554750550211738,0.5554749965667725,0.4700038731098175,0.04719695821404457,0.04990215599536896,0.00016130993026308715,0.0018142553744837642,0.017087578773498535,30.88304901123047,30.866634368896484,-0.016414642333984375,0.871928334236145,0.871935248374939,6.9141387939453125e-06,0.008782794699072838,0.008807908743619919,2.5114044547080994e-05,0.054910093545913696,0.06792349368333817,0.014884919859468937,-0.03371252119541168,0.024817490950226784,0.04294317588210106,0.008788932114839554,3.366069358889945e-05,0.10617392510175705,0.07353514432907104,0.692591370796502,0.6925913691520691,0.35789990425109863,0.03315462917089462,0.03799963742494583,0.0002666118380147964,0.0016453801654279232,0.015497026965022087
AXFLAIR,file_brain_AXFLAIR_201_6002974,13,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXFLAIR_201_6002974/slice-013/text-small,0.0001184767679660581,0.0001184767679660581,0.0,4.0,216,0.00012521418102551252,1.2521418284450192e-05,0.10568669438362122,2.873222365451511e-05,0.0026874934979009475,0.07407407462596893,32.160614013671875,32.0982551574707,-0.062358856201171875,0.9098544120788574,0.9048822522163391,-0.0049721598625183105,0.021379437297582626,0.021681440994143486,0.0003020036965608597,0.10443371534347534,0.10468851029872894,0.9280569553375244,-0.10443371534347534,0.016082530841231346,0.039963703602552414,0.02137857861816883,-0.0014256715076044202,0.10568667948246002,0.002317594364285469,0.021928916450347006,0.021928910166025162,0.9816771745681763,0.1033690795302391,0.10375022143125534,1.23540339700412e-05,0.0002441936812829226,0.0023105430882424116,34.246131896972656,34.152381896972656,-0.09375,0.9140263199806213,0.9094132781028748,-0.004613041877746582,0.01322648860514164,0.0135106286033988,0.0002841399982571602,0.09945899248123169,0.1010088324546814,0.86396324634552,-0.09929878264665604,0.01461824681609869,0.03143387660384178,0.013226451352238655,0.0008077165111899376,0.10568667948246002,0.004925251472741365,0.0466023863826545,0.04660237580537796,0.9670605659484863,0.10076144337654114,0.10220544040203094,3.193566590198316e-05,0.00028404695331119,0.0026876318734139204
AXT1,file_brain_AXT1_202_2020181,9,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1_202_2020181/slice-009/text-small,0.0006810565828345716,0.0006810565828345716,0.0,4.0,216,0.0007283793529495597,7.283793820533901e-05,0.10694843530654907,0.0006973677081987262,0.013192347150193342,1.0,29.63951301574707,29.62828254699707,-0.01123046875,0.8638376593589783,0.863723635673523,-0.00011402368545532227,0.039477668702602386,0.03950408473610878,2.6416033506393433e-05,0.07160621136426926,0.08897382020950317,0.050145719200372696,-0.051703475415706635,0.026437217369675636,0.0494474433362484,0.03944680467247963,0.002269695047289133,0.10694844275712967,0.037460122257471085,0.35026337262843243,0.35026344656944275,0.711219847202301,0.06948831677436829,0.0760638490319252,0.00013189762830734253,0.0015207637334242463,0.014219597913324833,36.491085052490234,36.37889862060547,-0.11218643188476562,0.9300834536552429,0.9287976026535034,-0.001285851001739502,0.008150692097842693,0.008347959257662296,0.00019726715981960297,0.06331568956375122,0.07209005206823349,0.03292001783847809,-0.05938641354441643,0.012603361159563065,0.022566253319382668,0.00821567140519619,0.0005100980633869767,0.10694844275712967,0.0460561104118824,0.43063843871454677,0.43063852190971375,0.6280907392501831,0.0611201673746109,0.06717332452535629,0.00021221241331659257,0.0015209210105240345,0.01422106847167015
AXT1,file_brain_AXT1_202_2020181,3,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1_202_2020181/slice-003/text-small,0.0007088794372975826,0.0007088794372975826,0.0,4.0,216,0.000810138531960547,8.101385174086317e-05,0.11428438872098923,0.0008580847061239183,0.014684093542961393,1.0,28.71966552734375,28.707773208618164,-0.011892318725585938,0.8197883367538452,0.8193920850753784,-0.0003962516784667969,0.056439656764268875,0.056465648114681244,2.5991350412368774e-05,0.09354010969400406,0.12742604315280914,0.08526863157749176,-0.06187530979514122,0.034717656672000885,0.06354433298110962,0.05630398541688919,0.0034124604426324368,0.11428438872098923,0.05921010673046112,0.5180944431090676,0.5180944800376892,0.5120313763618469,0.05507427826523781,0.05851719155907631,0.00017176682013086975,0.0018954889383167028,0.01658572070300579,34.11902618408203,34.08669662475586,-0.032329559326171875,0.9157540798187256,0.9153599143028259,-0.0003941655158996582,0.016279784962534904,0.016364099457859993,8.43144953250885e-05,0.06968607753515244,0.08430454134941101,0.03732285648584366,-0.04878351092338562,0.018170315772294998,0.03413395583629608,0.016246460378170013,0.0007982722017914057,0.11428438872098923,0.0608893483877182,0.5327879780358434,0.5327880382537842,0.5019590854644775,0.05339503660798073,0.057366084307432175,0.00023585055896546692,0.0019225130090489984,0.01682218350470066
AXT1,file_brain_AXT1_202_2020181,4,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1_202_2020181/slice-004/text-small,0.0007185758440755308,0.0007185758440755308,0.0,4.0,216,0.0008134949603118002,8.134949894156307e-05,0.11320934444665909,0.0008826199336908758,0.015296599109719944,1.0,28.69450569152832,28.679367065429688,-0.015138626098632812,0.8294659852981567,0.8291886448860168,-0.0002773404121398926,0.056116316467523575,0.05618232861161232,6.601214408874512e-05,0.09930859506130219,0.13356617093086243,0.09730468690395355,-0.0651690661907196,0.03289128467440605,0.06168114393949509,0.05594795197248459,0.002903598127886653,0.11320934444665909,0.05997362360358238,0.5297585980796858,0.529758632183075,0.5132684707641602,0.05323571711778641,0.05810678377747536,0.0001646338205318898,0.0019061336060985923,0.01683724671602249,34.45002746582031,34.41571807861328,-0.03430938720703125,0.9212377667427063,0.920915961265564,-0.000321805477142334,0.014912019483745098,0.014995640143752098,8.362066000699997e-05,0.06565216183662415,0.0790492370724678,0.034082867205142975,-0.046578336507081985,0.01684902049601078,0.03181718662381172,0.014886856079101562,0.0009249600116163492,0.11320934444665909,0.06580379605293274,0.5812576371196775,0.5812576413154602,0.469834566116333,0.04847120866179466,0.05318966135382652,0.00023267952201422304,0.001869260217063129,0.01651153713464737
AXT1PRE,file_brain_AXT1PRE_203_6000868,4,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1PRE_203_6000868/slice-004/text-small,0.0004537467029877007,0.0004537467029877007,0.0,4.0,216,0.0004994237679056823,4.994237679056823e-05,0.11006664484739304,0.00047619774704799056,0.009658952128521704,1.0,26.209922790527344,26.204978942871094,-0.00494384765625,0.7973964810371399,0.7972514033317566,-0.00014507770538330078,0.036335524171590805,0.036341603845357895,6.079673767089844e-06,0.0970490425825119,0.13932231068611145,0.11811327934265137,-0.06528293341398239,0.036381375044584274,0.06650380045175552,0.03610967844724655,0.0016620549140498042,0.11006665229797363,0.040313031524419785,0.36626017674530437,0.36626020073890686,0.6912743449211121,0.06975360959768295,0.07608625292778015,0.0001542917307233438,0.0014612616505473852,0.013276152312755585,34.07146453857422,33.8706169128418,-0.20084762573242188,0.8953253030776978,0.892314612865448,-0.003010690212249756,0.005945348646491766,0.0062207127921283245,0.00027536414563655853,0.05418839305639267,0.06278671324253082,0.023987935855984688,-0.043896958231925964,0.017502235248684883,0.027490869164466858,0.006170319858938456,0.0016880340408533812,0.11006665229797363,0.06431962549686432,0.5843697809826861,0.5843698382377625,0.5366815328598022,0.050551868975162506,0.059070736169815063,0.0008956521051004529,0.003592247376218438,0.03263701871037483
AXT1PRE,file_brain_AXT1PRE_203_6000868,8,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1PRE_203_6000868/slice-008/text-small,0.000430366606451571,0.000430366606451571,0.0,4.0,216,0.0004612098855432123,4.612098928191699e-05,0.10716674476861954,0.0003483793407212943,0.008889225008046344,0.8009259104728699,30.02836036682129,29.999828338623047,-0.028532028198242188,0.8693519234657288,0.8675594925880432,-0.0017924308776855469,0.021225055679678917,0.021347466856241226,0.00012241117656230927,0.07496851682662964,0.08497732877731323,0.09496196359395981,-0.06934840232133865,0.023083603009581566,0.042194485664367676,0.02120652049779892,0.0005938389804214239,0.10716675221920013,0.018087275326251984,0.16877692896072896,0.16877691447734833,0.8685410618782043,0.08907946944236755,0.09307872503995895,0.00010885429219342768,0.0010419400641694665,0.009722605347633362,34.589202880859375,34.510257720947266,-0.07894515991210938,0.9128933548927307,0.9113088250160217,-0.0015845298767089844,0.007426162716001272,0.007556201424449682,0.00013003870844841003,0.0646992102265358,0.0718800351023674,0.06794539839029312,-0.06083325669169426,0.01501518115401268,0.02499334141612053,0.007440578192472458,0.0008027429576031864,0.10716675221920013,0.041234564036130905,0.38477011929772065,0.38477012515068054,0.6856542229652405,0.06650729477405548,0.07347933202981949,0.00016002931806724519,0.0011810705764219165,0.01102086715400219
AXT1PRE,file_brain_AXT1PRE_203_6000868,7,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1PRE_203_6000868/slice-007/text-small,0.00043583897058852017,0.00043583897058852017,0.0,4.0,216,0.0004697323020081967,4.697322947322391e-05,0.10777656733989716,0.00040134123992174864,0.00934867128328723,0.8981481790542603,28.448936462402344,28.424835205078125,-0.02410125732421875,0.8482109904289246,0.8471088409423828,-0.001102149486541748,0.027010371908545494,0.027130628004670143,0.00012025609612464905,0.08764314651489258,0.10844851285219193,0.0753026008605957,-0.08296265453100204,0.028317084535956383,0.051649462431669235,0.026969844475388527,0.0011199143482372165,0.10777657479047775,0.02959057316184044,0.2745547742574467,0.2745547890663147,0.7718856930732727,0.07818599790334702,0.08319118618965149,0.0001261991128558293,0.0012775682844221592,0.011853858828544617,34.39540100097656,34.322505950927734,-0.07289505004882812,0.9119773507118225,0.9105431437492371,-0.0014342069625854492,0.006868857890367508,0.006977385841310024,0.00010852795094251633,0.06281641870737076,0.06992509216070175,0.03130609542131424,-0.05981145799160004,0.0160599984228611,0.026117460802197456,0.006896183360368013,0.0009149787947535515,0.10777657479047775,0.05336601659655571,0.49515413437754463,0.49515414237976074,0.5895327925682068,0.05598130822181702,0.06353782117366791,0.0001942234521266073,0.0012805573642253876,0.011881592683494091
AXT1POST,file_brain_AXT1POST_205_2050067,7,/home/students/studxuzho1/ram-fastmri-brain-adapter/runs/ram-029/output/file_brain_AXT1POST_205_2050067/slice-007/text-small,0.0004231295606587082,0.0004231295606587082,0.0,4.0,216,0.00046619208296760917,4.66192104795482e-05,0.11017715185880661,0.0004240242124069482,0.009971993226073547,1.0,29.163244247436523,29.152135848999023,-0.0111083984375,0.8493026494979858,0.84896320104599,-0.0003394484519958496,0.03168005496263504,0.03172069415450096,4.063919186592102e-05,0.07722771912813187,0.09910218417644501,0.04943838343024254,-0.06333652883768082,0.030000394210219383,0.05684514716267586,0.03164782375097275,0.002835542196407914,0.11017715185880661,0.03462297096848488,0.31424819378934976,0.31424814462661743,0.7353852987289429,0.07555418461561203,0.08102267235517502,0.00013418635353446007,0.0014181903097778559,0.012871908023953438,35.77070999145508,35.71004867553711,-0.06066131591796875,0.9297196865081787,0.9286568760871887,-0.0010628104209899902,0.006918936036527157,0.007007311098277569,8.837506175041199e-05,0.06358984112739563,0.07021234929561615,0.024815604090690613,-0.056854911148548126,0.014745732769370079,0.02660820446908474,0.006934070028364658,6.05638706474565e-05,0.11017715185880661,0.05622546747326851,0.5103187596038256,0.5103187561035156,0.5646368265151978,0.056222718209028244,0.0622100792825222,0.00022497509780805558,0.001313135726377368,0.011918402276933193
